window_id,window_start_utc,window_end_utc,product_id,depth,target_samples,successful_samples,failed_samples,imbalance_mean,imbalance_median,imbalance_min,imbalance_max,bid_volume_mean,ask_volume_mean,notes
btc_usd_d10_20260801T000451Z,2026-08-01T00:04:51.546980Z,2026-08-01T01:03:52.465913Z,BTC-USD,10,60,60,0,-0.344713170574,-0.456691829082,-0.996961798416,0.954817884526,0.432216855333,0.923868757667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T042352Z,2026-08-01T04:23:52.384716Z,2026-08-01T05:22:52.587053Z,BTC-USD,10,60,60,0,-0.123980404992,-0.27254978783,-0.977515014432,0.944809239564,0.588260407833,0.861353633167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T073100Z,2026-08-01T07:31:00.060155Z,2026-08-01T08:30:00.161904Z,BTC-USD,10,60,60,0,-0.464491899673,-0.606498789914,-0.95504886845,0.963298937567,0.389064805,1.4288893575,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T100422Z,2026-08-01T10:04:22.551054Z,2026-08-01T11:03:23.188847Z,BTC-USD,10,60,60,0,-0.249351010737,-0.31610959087,-0.999908800579,0.942766084709,0.613730929333,1.138196120667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T120457Z,2026-08-01T12:04:57.545344Z,2026-08-01T13:03:57.612934Z,BTC-USD,10,60,60,0,-0.053266913637,-0.265521987048,-0.885399229365,0.964210861384,1.011956782,0.905225709333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T143657Z,2026-08-01T14:36:57.705587Z,2026-08-01T15:35:58.243301Z,BTC-USD,10,60,60,0,-0.450111996721,-0.600337525686,-0.999682323844,0.987567562304,0.716417175833,1.919033416333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T160453Z,2026-08-01T16:04:53.007004Z,2026-08-01T17:03:53.078001Z,BTC-USD,10,60,60,0,-0.113330792993,-0.183152683687,-0.805659031634,0.868469275173,1.324262945333,1.649615954667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T180255Z,2026-08-01T18:02:55.052365Z,2026-08-01T19:01:55.181832Z,BTC-USD,10,60,60,0,-0.101450916025,-0.130655127219,-0.934450157675,0.935556718152,1.3572154825,1.942284680667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260801T201118Z,2026-08-01T20:11:18.731072Z,2026-08-01T21:10:18.792010Z,BTC-USD,10,60,60,0,0.035724882913,0.001990476709,-0.881275427666,0.963409301142,1.070191310833,1.015290520833,hourly window sampler; minute rows are collected live during the run
