window_id,window_start_utc,window_end_utc,product_id,depth,target_samples,successful_samples,failed_samples,imbalance_mean,imbalance_median,imbalance_min,imbalance_max,bid_volume_mean,ask_volume_mean,notes
btc_usd_d10_20260425T031701Z,2026-04-25T03:17:01.026678Z,2026-04-25T04:16:01.315842Z,BTC-USD,10,60,60,0,0.070225386252,-0.008571306583,-0.842393728993,0.896074288707,0.840788064,0.664578748833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T055209Z,2026-04-25T05:52:09.641832Z,2026-04-25T06:51:10.011960Z,BTC-USD,10,60,60,0,0.240628558711,0.402255637287,-0.930879320272,0.808410704902,2.3175215735,1.094370787667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T073911Z,2026-04-25T07:39:11.042329Z,2026-04-25T08:38:11.111737Z,BTC-USD,10,60,60,0,0.250544111175,0.386116505054,-0.924482930148,0.788291480398,1.497918066333,0.820410598833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T090223Z,2026-04-25T09:02:23.229502Z,2026-04-25T10:01:23.324252Z,BTC-USD,10,60,60,0,0.277099024225,0.289601315834,-0.599190644201,0.910507802708,1.497325496333,0.705312822,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T105124Z,2026-04-25T10:51:24.562123Z,2026-04-25T11:50:24.642970Z,BTC-USD,10,60,60,0,-0.004484374061,-0.000779654269,-0.841931746434,0.884147242343,0.8504915885,0.7141154485,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T131943Z,2026-04-25T13:19:43.158856Z,2026-04-25T14:18:44.015881Z,BTC-USD,10,60,60,0,-0.030097860275,-0.027867665236,-0.917788423955,0.853495454973,0.886070832333,0.782282758,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T145144Z,2026-04-25T14:51:44.244748Z,2026-04-25T15:50:44.335899Z,BTC-USD,10,60,60,0,-0.030815431021,-0.067251579761,-0.870614389852,0.895307456306,0.890916529667,0.814863651833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T165347Z,2026-04-25T16:53:47.558418Z,2026-04-25T17:52:47.841782Z,BTC-USD,10,60,60,0,-0.012990084998,-0.124184311097,-0.850347171575,0.954729898802,2.953058429333,0.964125068167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260425T190405Z,2026-04-25T19:04:05.596675Z,2026-04-25T20:03:06.029568Z,BTC-USD,10,60,60,0,-0.025970361467,-0.021797267016,-0.983736301458,0.960521355573,1.268396296,1.066700254833,hourly window sampler; minute rows are collected live during the run
