window_id,window_start_utc,window_end_utc,product_id,depth,target_samples,successful_samples,failed_samples,imbalance_mean,imbalance_median,imbalance_min,imbalance_max,bid_volume_mean,ask_volume_mean,notes
btc_usd_d10_20260824T014404Z,2026-08-24T01:44:04.960837Z,2026-08-24T02:43:05.051034Z,BTC-USD,10,60,60,0,-0.006786087259,0.009399446214,-0.946964402599,0.925339188369,0.857230600333,0.8090827735,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T030915Z,2026-08-24T03:09:15.063320Z,2026-08-24T04:08:15.169015Z,BTC-USD,10,60,60,0,-0.14072027213,-0.235450190088,-0.840318262189,0.928950633836,0.536323276833,0.826372379667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T045159Z,2026-08-24T04:51:59.235532Z,2026-08-24T05:50:59.309464Z,BTC-USD,10,60,60,0,0.09999775009,0.162473505075,-0.880098967844,0.943347608649,1.4498617985,1.218176768833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T055114Z,2026-08-24T05:51:14.611700Z,2026-08-24T06:50:14.717628Z,BTC-USD,10,60,60,0,0.03590206484,0.047972149209,-0.856940106111,0.872501068024,1.379115357667,1.1933704025,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T070913Z,2026-08-24T07:09:13.490546Z,2026-08-24T08:08:13.976663Z,BTC-USD,10,60,60,0,0.016083888661,-0.001793563883,-0.829831276835,0.94431249875,1.437266610833,1.227532789,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T085448Z,2026-08-24T08:54:48.580331Z,2026-08-24T09:53:48.644245Z,BTC-USD,10,60,60,0,-0.190966733975,-0.139948727645,-0.907409557016,0.655979655369,0.780079749167,1.186781479,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T095413Z,2026-08-24T09:54:13.818126Z,2026-08-24T10:53:13.947436Z,BTC-USD,10,60,60,0,0.110611439207,0.183951414344,-0.871957203965,0.791208566462,1.089534449833,0.791522181667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T105330Z,2026-08-24T10:53:30.690789Z,2026-08-24T11:52:30.855911Z,BTC-USD,10,60,60,0,0.048486413979,0.049343586734,-0.851202336604,0.826307388564,1.017574074333,0.8600796145,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T115249Z,2026-08-24T11:52:49.598869Z,2026-08-24T12:51:49.708292Z,BTC-USD,10,60,60,0,0.090832615867,0.00171710197,-0.748975923168,0.880165629677,1.207019227,0.620323525167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T130111Z,2026-08-24T13:01:11.791411Z,2026-08-24T14:00:12.122559Z,BTC-USD,10,60,60,0,-0.06049294589,-0.080084851502,-0.99844562489,0.822618204467,0.799578119167,0.924293937,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T145037Z,2026-08-24T14:50:37.404216Z,2026-08-24T15:49:37.771943Z,BTC-USD,10,60,60,0,-0.005394759306,-0.044722085738,-0.941843100902,0.873634047588,1.111312624667,1.078745859,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T154953Z,2026-08-24T15:49:53.472054Z,2026-08-24T16:48:53.648185Z,BTC-USD,10,60,60,0,0.105999402726,0.092134704294,-0.904404281387,0.883914783554,1.207885614167,0.7912702005,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T165132Z,2026-08-24T16:51:32.177917Z,2026-08-24T17:50:32.294966Z,BTC-USD,10,60,60,0,-0.028132658857,-0.057840683397,-0.732073902459,0.75927573006,0.763514806167,0.7782918015,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T175054Z,2026-08-24T17:50:54.097308Z,2026-08-24T18:49:54.284414Z,BTC-USD,10,60,60,0,0.008801077878,0.071741250786,-0.955403847169,0.785564545426,0.789820766833,0.759197129167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T185013Z,2026-08-24T18:50:13.235393Z,2026-08-24T19:49:13.341164Z,BTC-USD,10,60,60,0,-0.076925744561,-0.101134542586,-0.862735734187,0.852353207085,0.730348873333,0.805148817333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T194959Z,2026-08-24T19:49:59.726405Z,2026-08-24T20:49:00.359134Z,BTC-USD,10,60,60,0,-0.110263106629,-0.132049858534,-0.787300310209,0.886374170957,0.810729575333,0.900860660833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T204918Z,2026-08-24T20:49:18.688122Z,2026-08-24T21:48:18.773166Z,BTC-USD,10,60,60,0,-0.048630992755,-0.049489000323,-0.898890868007,0.641795681996,0.732937783833,0.843638088,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T214836Z,2026-08-24T21:48:36.467571Z,2026-08-24T22:47:36.580549Z,BTC-USD,10,60,60,0,0.050750152907,0.049518603418,-0.844932815581,0.869835996927,1.262964378333,0.926735706,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260824T224802Z,2026-08-24T22:48:02.642865Z,2026-08-24T23:47:02.769628Z,BTC-USD,10,60,60,0,0.070740250867,-0.0122646055,-0.941600443475,0.999951852866,1.159383782,0.997031169833,hourly window sampler; minute rows are collected live during the run
