window_id,window_start_utc,window_end_utc,product_id,depth,target_samples,successful_samples,failed_samples,imbalance_mean,imbalance_median,imbalance_min,imbalance_max,bid_volume_mean,ask_volume_mean,notes
btc_usd_d10_20260503T035408Z,2026-05-03T03:54:08.760052Z,2026-05-03T04:53:09.472640Z,BTC-USD,10,60,60,0,-0.049134361914,-0.105616599492,-0.89918259991,0.873742960832,0.529093389167,0.522434303333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T063143Z,2026-05-03T06:31:43.611501Z,2026-05-03T07:30:43.727411Z,BTC-USD,10,60,60,0,-0.071629307509,-0.101418728225,-0.920290725238,0.860814818408,0.460033794833,0.6119534555,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T085141Z,2026-05-03T08:51:41.515498Z,2026-05-03T09:50:42.588291Z,BTC-USD,10,60,60,0,-0.105034747216,-0.139742724954,-0.935615365958,0.782074984565,0.5601774955,0.955927390333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T101125Z,2026-05-03T10:11:25.083801Z,2026-05-03T11:10:25.236471Z,BTC-USD,10,60,60,0,-0.269664555643,-0.348652565669,-0.919223888498,0.723472133523,0.318135565333,0.589818120667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T115056Z,2026-05-03T11:50:56.171620Z,2026-05-03T12:49:56.248075Z,BTC-USD,10,60,60,0,-0.059589705886,-0.097502211746,-0.928171530808,0.779471959711,0.980947869,0.740254074833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T132618Z,2026-05-03T13:26:18.181690Z,2026-05-03T14:25:18.259235Z,BTC-USD,10,60,60,0,-0.12875993216,-0.174469616369,-0.989091422654,0.901155170879,0.657368435333,5.726802391333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T145457Z,2026-05-03T14:54:57.021281Z,2026-05-03T15:53:57.146666Z,BTC-USD,10,60,60,0,-0.155626170608,-0.190259060546,-0.817261206288,0.759581459214,0.601839794833,1.057809160167,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T155428Z,2026-05-03T15:54:28.563796Z,2026-05-03T16:53:28.722376Z,BTC-USD,10,60,60,0,-0.205074121232,-0.195178890586,-0.847176027832,0.454762678431,0.5310274935,0.826269715667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T165859Z,2026-05-03T16:58:59.423205Z,2026-05-03T17:57:59.664428Z,BTC-USD,10,60,60,0,-0.224861703317,-0.302648385441,-0.89411957482,0.811947869225,0.440349752,0.745175119667,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T191200Z,2026-05-03T19:12:00.921529Z,2026-05-03T20:11:01.537115Z,BTC-USD,10,60,60,0,-0.22644273587,-0.286172530067,-0.948760199402,0.826911521035,0.438920589333,0.692111723333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260503T205403Z,2026-05-03T20:54:03.453863Z,2026-05-03T21:53:03.609657Z,BTC-USD,10,60,60,0,-0.324131138962,-0.551143486098,-0.954168362049,0.971400038434,0.747040497833,0.800987026667,hourly window sampler; minute rows are collected live during the run
